Scopus refine results values

"Your query : (SOURCE-ID (21100812243))"


Number of results : 613

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
,,,,"Ohno, H.","2",,,,,,,,,"Mechanical Properties","4","Freie Universität Berlin","3","National Centre of Competence in Research Robotics","2",,,,,,
,,,,"Persson, K.A.","2",,,,,,,,,"Metal Ions","4","California Institute of Technology","3","National Health and Medical Research Council","2",,,,,,
,,,,"Poon, W.","2",,,,,,,,,"Microenvironments","4","Hunan University","3","National Institute of Diabetes and Digestive and Kidney Diseases","2",,,,,,
,,,,"Qiu, C.W.","2",,,,,,,,,"Nanocrystalline Materials","4","Technische Universiteit Eindhoven","3","National Research Foundation Singapore","2",,,,,,
,,,,"Radisic, M.","2",,,,,,,,,"Organic Polymers","4","Universität des Saarlandes","3","Pacific Northwest National Laboratory","2",,,,,,
,,,,"Ren, R.","2",,,,,,,,,"Performance","4","Leibniz Institute for New Materials","3","Prostate Cancer Canada","2",,,,,,
,,,,"Reshef, O.","2",,,,,,,,,"Physiological Models","4","The George W. Woodruff School of Mechanical Engineering","3","Samsung Advanced Institute of Technology","2",,,,,,
,,,,"Reticcioli, M.","2",,,,,,,,,"Quantum Information","4","Universite Grenoble Alpes","3","Samsung Medison","2",,,,,,
,,,,"Rousseau, R.","2",,,,,,,,,"Rational Design","4","Max Planck Institute for the Structure and Dynamics of Matter","3","Solar Energy Technologies Office","2",,,,,,
,,,,"Salleo, A.","2",,,,,,,,,"Regenerative Medicine","4","Simons Foundation","3","University of California Berkeley","2",,,,,,
,,,,"Salmeron-Sanchez, M.","2",,,,,,,,,"Research Communities","4","Helmholtz-Institut Ulm","3","University of Colorado","2",,,,,,
,,,,"Schilter, D.","2",,,,,,,,,"Robotics","4","Kavli Institute of Nanoscience Delft","3","AO Foundation","1",,,,,,
,,,,"Selloni, A.","2",,,,,,,,,"Semiconductor Quantum Dots","4","Department of NanoEngineering","3","Advanced Scientific Computing Research","1",,,,,,
,,,,"Seo, H.","2",,,,,,,,,"Soft Robot","4","Nature Communications","2","Agency for Science, Technology and Research","1",,,,,,
,,,,"Setvin, M.","2",,,,,,,,,"Solid Electrolytes","4","Toyota Research Institute","2","Air Force Research Laboratory","1",,,,,,
,,,,"Sindhwani, S.","2",,,,,,,,,"Solid State Devices","4","École Normale Supérieure","2","American Chemical Society Petroleum Research Fund","1",,,,,,
,,,,"Sitti, M.","2",,,,,,,,,"Structural Design","4","Moscow Institute of Physics and Technology","2","American Diabetes Association","1",,,,,,
,,,,"Spaldin, N.A.","2",,,,,,,,,"Vaccines","4","Université Catholique de Louvain","2","Andrew W. Mellon Foundation","1",,,,,,
,,,,"Studt, F.","2",,,,,,,,,"Additives","3","Johns Hopkins School of Medicine","2","Archival Education and Research Institute","1",,,,,,
,,,,"Tavares, A.J.","2",,,,,,,,,"Arsenic Compounds","3","Sorbonne Universite","2","Armament Research, Development and Engineering Center","1",,,,,,
,,,,"Toher, C.","2",,,,,,,,,"Artificial Intelligence","3","Pennsylvania State University","2","Army Research Laboratory","1",,,,,,
,,,,"Trassin, M.","2",,,,,,,,,"Atoms","3","Shiley Eye Institute","2","Aspen Center for Physics","1",,,,,,
,,,,"Unocic, R.R.","2",,,,,,,,,"Biochemical Properties","3","Emory University School of Medicine","2","BASF","1",,,,,,
,,,,"Wang, Y.","2",,,,,,,,,"Biomechanics","3","Ajou University","2","Beijing University of Chemical Technology","1",,,,,,
,,,,"Wanunu, M.","2",,,,,,,,,"Biomolecules","3","Université McGill","2","Bill and Melinda Gates Foundation","1",,,,,,
,,,,"Whitehead, K.A.","2",,,,,,,,,"Biopolymers","3","Bar-Ilan University","2","Boeing","1",,,,,,
,,,,"Wilhelm, S.","2",,,,,,,,,"Blood Vessels","3","University of Victoria","2","Cabinet Office, Government of Japan","1",,,,,,
,,,,"Wolfowicz, G.","2",,,,,,,,,"Cell Signaling","3","Wigner Research Centre for Physics","2","Camille and Henry Dreyfus Foundation","1",,,,,,
,,,,"Xia, H.","2",,,,,,,,,"Chemical Bonds","3","The University of Manchester","2","Canada Research Chairs","1",,,,,,
,,,,"Xiao, Y.","2",,,,,,,,,"Chemical Compositions","3","Vanderbilt University","2","Cancer Genomics Centre","1",,,,,,
,,,,"Xu, Q.","2",,,,,,,,,"Collective Behaviour","3","AstraZeneca","2","Case Western Reserve University","1",,,,,,
,,,,"Xue, L.","2",,,,,,,,,"Conjugated Polymers","3","Center for Computational Material Science","2","Centre of Excellence in Exciton Science","1",,,,,,
,,,,"Yaghi, O.M.","2",,,,,,,,,"Conventional Methods","3","University of Missouri","2","Chan Zuckerberg Initiative","1",,,,,,
,,,,"Yamazaki, H.","2",,,,,,,,,"Crosslinking","3","Harvard Faculty of Arts and Sciences","2","China Postdoctoral Science Foundation","1",,,,,,
,,,,"Yan, Y.","2",,,,,,,,,"Crystal Symmetry","3","The University of Hong Kong","2","City University of Hong Kong","1",,,,,,
,,,,"Yang, P.","2",,,,,,,,,"Deformation","3","National Institutes of Health NIH","2","Clemson University","1",,,,,,
,,,,"Yang, Y.","2",,,,,,,,,"Design And Development","3","City University of New York","2","College of Science, Technology, Engineering, and Mathematics, Youngstown State University","1",,,,,,
,,,,"Zaks, T.","2",,,,,,,,,"Device Performance","3","Universitat Politècnica de Catalunya","2","Columbia University","1",,,,,,
,,,,"Zha, S.","2",,,,,,,,,"Different Length Scale","3","Jilin University","2","Commonwealth Foundation for Cancer Research Foundation","1",,,,,,
,,,,"Zhang, H.","2",,,,,,,,,"Digital Storage","3","University of South Florida, Tampa","2","Cornell Center for Materials Research","1",,,,,,
,,,,"Zhang, K.","2",,,,,,,,,"Drug Delivery","3","Tecnologico de Monterrey","2","Croucher Foundation","1",,,,,,
,,,,"Zhang, L.","2",,,,,,,,,"Electric Batteries","3","Universiteit Utrecht","2","Cycle for Survival","1",,,,,,
,,,,"Zhao, D.","2",,,,,,,,,"Electrochemical Electrodes","3","Weill Cornell Medicine","2","Cystic Fibrosis Foundation","1",,,,,,
,,,,"Zhao, Z.J.","2",,,,,,,,,"Emerging Applications","3","Memorial Sloan-Kettering Cancer Center","2","Danish Agency for Science and Higher Education","1",,,,,,
,,,,"Zhu, K.","2",,,,,,,,,"Fabrication Technologies","3","Linköpings Universitet","2","Danmarks Grundforskningsfond","1",,,,,,
,,,,"Ziatdinov, M.","2",,,,,,,,,"Function Relationships","3","Nanjing University of Science and Technology","2","Deanship of Scientific Research, King Saud University","1",,,,,,
,,,,"de Lázaro, I.","2",,,,,,,,,"Functional Devices","3","Samsung Group","2","Department of Education and Training","1",,,,,,
,,,,"Aalipour, A.","1",,,,,,,,,"Functional Properties","3","Kyoto University","2","Diamond Light Source","1",,,,,,
,,,,"Abrahams, E.","1",,,,,,,,,"Fundamental Principles","3","Technische Universität Darmstadt","2","Digestive Diseases Research Core Center, University of Chicago","1",,,,,,
,,,,"Abramson, A.","1",,,,,,,,,"Future Research Directions","3","University of Rochester Institute of Optics","2","Digital Manufacturing and Design Centre, Singapore University of Technology and Design","1",,,,,,
,,,,"Adam, B.","1",,,,,,,,,"Gene Encoding","3","CEA Grenoble","2","Diputación Foral de Gipuzkoa","1",,,,,,
,,,,"Adhikary, P.P.","1",,,,,,,,,"Greenhouse Gases","3","Karolinska Institutet","2","Directorate for Engineering","1",,,,,,
,,,,"Aeppli, G.","1",,,,,,,,,"High Throughput","3","Guangzhou Medical University","2","Division of Chemical, Bioengineering, Environmental, and Transport Systems","1",,,,,,
,,,,"Aghakhani, A.","1",,,,,,,,,"II-VI Semiconductors","3","Oregon State University","2","Division of Civil, Mechanical and Manufacturing Innovation","1",,,,,,
,,,,"Aguado, B.A.","1",,,,,,,,,"Immune Cells","3","University of Florida","2","Division of Information and Intelligent Systems","1",,,,,,
,,,,"Ahn, C.H.","1",,,,,,,,,"Immune Response","3","City University of Hong Kong","2","Dow Chemical Company","1",,,,,,
,,,,"Ahn, E.C.","1",,,,,,,,,"Immuno Modulations","3","Drexel University","2","Eastman Kodak","1",,,,,,
,,,,"Aimetti, A.A.","1",,,,,,,,,"Interface States","3","Universität Stuttgart","2","Emerald Foundation","1",,,,,,
,,,,"Undefined","23",,,,,,,,,"Lead Compounds","3","Brandeis University","2","Undefined","343",,,,,,
